accession	strain	date	PPX_accession	PPX_accession__url	INSDC_accession	INSDC_accession__url	region	country	division	location	host	date_submitted	sra_accession	authors	institution	dataUseTerms	dataUseTerms__url	restrictedUntil	clade	escape	qc.overallScore	qc.overallStatus	missing_data	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	cdsCoverage	F_coverage	G_coverage
PP_002S4AP	India/PP_002S4AP.1/2022	2022-XX-XX	PP_002S4AP.1	https://pathoplexus.org/seq/PP_002S4AP.1	OR458801.1	https://www.ncbi.nlm.nih.gov/nuccore/OR458801.1	Asia	India				2023-09-24		M, S.; Dhodapkar, R.; P, F. S.	JIPMER, Microbiology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.E.1	0	0	good	0	935	5416	5736	0.021087899093417423	F:0.034782608695652174,G:0.17363344051446947	0.034782608695652174	0.17363344051446947
PP_002SR1L	Belgium/PP_002SR1L.1/2015	2015-XX-XX	PP_002SR1L.1	https://pathoplexus.org/seq/PP_002SR1L.1	OR772711.1	https://www.ncbi.nlm.nih.gov/nuccore/OR772711.1	Europe	Belgium				2024-08-25		Ramaekers, K.; Rector, A.; Keyaerts, E.; Houspie, L.; Beuselinck, K.; Reynders, M.; Lagrou, K.; Van Ranst, M.	KU Leuven, Microbiology Immunology and Transplantation	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	1142	5198	5599	0.02640914465904612	G:0.40836012861736337	0.0	0.40836012861736337
PP_002VMR3	USA/PP_002VMR3.1/2023-12-08	2023-12-08	PP_002VMR3.1	https://pathoplexus.org/seq/PP_002VMR3.1	PQ117663.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ117663.1	North America	USA	Virginia			2024-08-07		Rothstein, A. P.; Qiu, X.; Collins, S.; Muir, G.; Simas, A.; Sum, A.; Lu, B.; Cosca, B.; Girinathan, B.; Leeson, P.; Phillipson, C. W.; Plocik, A.; Simen, B.	Ginkgo Bioworks, Ginkgo Biosecurity	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.E.1	0	0	good	0	45010	8	15197	0.9978977795296282	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_002VP4A	United_Kingdom/PP_002VP4A.1/2021-10-06	2021-10-06	PP_002VP4A.1	https://pathoplexus.org/seq/PP_002VP4A.1	PQ348904.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ348904.1	Europe	United Kingdom	Scotland			2024-09-25		Maloney, D. M.; Fernandes, G.; Jasim, S.; Dewar, R.; Templeton, K. E.	University of Edinburgh, Institute of Ecology and Evolution	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1.1	0	0	good	255	44839	47	15184	0.9777296018919984	F:1,G:1,L:0.9607752653437933,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_002VYYC	Argentina/PP_002VYYC.1/2024-06-10	2024-06-10	PP_002VYYC.1	https://pathoplexus.org/seq/PP_002VYYC.1	PQ600478.2	https://www.ncbi.nlm.nih.gov/nuccore/PQ600478.2	South America	Argentina	Buenos Aires	la Plata		2024-11-25		Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	CONICET (National Council for Scientific and Technical Research), Exacts Sciences School, National University of la Plata	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.E.1	0	0	good	0	45098	1	15222	1	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_002X92Q	Canada/PP_002X92Q.1/2016-01-08	2016-01-08	PP_002X92Q.1	https://pathoplexus.org/seq/PP_002X92Q.1	PV460599.1	https://www.ncbi.nlm.nih.gov/nuccore/PV460599.1	North America	Canada				2025-04-13		Oraby, A. K.; Stojic, A.; Elawar, F.; Bilawchuk, L. M.; McClelland, R. D.; Erwin, K.; Granoski, M. J.; Griffiths, C. D.; Frederick, J. D.; Arutyunova, E.; Lemieux, M. J.; West, F. G.; Ramilo, O.; Mejias, A.; McLellan, J. S.; Marchant, D. J.	University of Alberta, Medical Microbiology & Immunology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1	0	1.562500	good	0	5107	5676	7400	0.11325712784128235	F:1	1.0	0.0
PP_0031XU9	China/PP_0031XU9.1/2025-04-11	2025-04-11	PP_0031XU9.1	https://pathoplexus.org/seq/PP_0031XU9.1	PV963522.1	https://www.ncbi.nlm.nih.gov/nuccore/PV963522.1	Asia	China	Beijing			2025-08-02		Shen, L.; Wang, C.; Hu, G.; Kang, L.; Wei, X.	Immunological Prevention, Beijing Center for Disease Prevetion and Control	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.E.1	0	0	good	0	1358	5172	5645	0.031139140717382736	G:0.4340836012861736	0.0	0.4340836012861736
PP_003212N	Hungary/PP_003212N.1/2017-03-05	2017-03-05	PP_003212N.1	https://pathoplexus.org/seq/PP_003212N.1	PV985002.1	https://www.ncbi.nlm.nih.gov/nuccore/PV985002.1	Europe	Hungary				2025-08-05		Juhasz, H.; Terhes, G.	University of Szeged, Department of Medical Microbiology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	5114	5676	7397	0.11312573906188411	F:0.9982608695652174	0.9982608695652174	0.0
PP_00321D0	Hungary/PP_00321D0.1/2022-12-22	2022-12-22	PP_00321D0.1	https://pathoplexus.org/seq/PP_00321D0.1	PV985013.1	https://www.ncbi.nlm.nih.gov/nuccore/PV985013.1	Europe	Hungary				2025-08-05		Juhasz, H.; Terhes, G.	University of Szeged, Department of Medical Microbiology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.E.1	0	0	good	0	5102	5676	7397	0.11312573906188411	F:0.9982608695652174	0.9982608695652174	0.0
PP_003SEG0	South_Korea/PP_003SEG0.1/2002	2002-XX-XX	PP_003SEG0.1	https://pathoplexus.org/seq/PP_003SEG0.1	MK947228.1	https://www.ncbi.nlm.nih.gov/nuccore/MK947228.1	Asia	South Korea				2019-12-21		Yun, K. W.	Seoul National University Children's Hospital, Pediatrics	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1.1	0	0	good	0	2010	4793	10181	0.35402706608855605	G:0.842443729903537,L:0.2556529764651592	0.0	0.842443729903537
PP_003SWP3	South_Korea/PP_003SWP3.1/2015-12-30	2015-12-30	PP_003SWP3.1	https://pathoplexus.org/seq/PP_003SWP3.1	MT544056.1	https://www.ncbi.nlm.nih.gov/nuccore/MT544056.1	Asia	South Korea				2020-06-29		Porter, D. P.; Guo, Y.; Perry, J.; Gossage, D. L.; Watkins, T. R.; Chien, J. W.; Jordan, R.	Gilead Sciences, Inc., Clinical Virology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	5064	5685	7400	0.1127315727236894	F:0.9947826086956522	0.9947826086956522	0.0
PP_003T0DJ	Canada/PP_003T0DJ.1/2017-02-14	2017-02-14	PP_003T0DJ.1	https://pathoplexus.org/seq/PP_003T0DJ.1	MT544285.1	https://www.ncbi.nlm.nih.gov/nuccore/MT544285.1	North America	Canada				2020-06-29		Porter, D. P.; Guo, Y.; Perry, J.; Gossage, D. L.; Watkins, T. R.; Chien, J. W.; Jordan, R.	Gilead Sciences, Inc., Clinical Virology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	5119	5676	7400	0.11332282223098147	F:1	1.0	0.0
PP_003V5TE	Australia/PP_003V5TE.2/2015-06-11	2015-06-11	PP_003V5TE.2	https://pathoplexus.org/seq/PP_003V5TE.2	OZ331705.1	https://www.ncbi.nlm.nih.gov/nuccore/OZ331705.1	Oceania	Australia	Victoria		Human	2025-09-23		Dong, Xiaomin; Edwards, Steven; Deng, Yi-Mo; Barr, Ian	WHO Collaborating Centre for Reference and Research on Influenza	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	45078	1	15200	0.9985547234266193	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_0046WYR	Australia/PP_0046WYR.1/2025-04-15	2025-04-15	PP_0046WYR.1	https://pathoplexus.org/seq/PP_0046WYR.1	OZ334505.1	https://www.ncbi.nlm.nih.gov/nuccore/OZ334505.1	Oceania	Australia	Northern Territory		Human	2025-09-24		Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde	WHO Collaborating Centre for Reference and Research on Influenza	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1.1	0.5	0.017778	good	0	45010	1	15200	0.9985547234266193	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
